종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
263750,펄어비스,"192,300","-6,700","3.37","15,598,023,500","2,515,255,155,000"
022100,포스코 ICT,"4,425","35","0.80","1,691,253,150","672,753,675,825"
003380,하림지주,"6,400","320","5.26","3,350,864,580","598,938,867,200"
013030,하이록코리아,"12,100","200","1.68","500,823,550","164,720,107,200"
063570,한국전자금융,"6,000","10","0.17","2,098,763,140","204,886,368,000"
045100,한양이엔지,"10,050","50","0.50","874,811,560","180,900,000,000"
084990,헬릭스미스,"66,600","700","1.06","12,366,231,700","1,426,244,860,800"
048410,현대바이오,"10,750","300","2.87","60,126,019,950","386,095,677,750"
243070,휴온스,"48,500","-750","1.52","3,445,166,800","479,216,084,000"
084110,휴온스글로벌,"31,650","-50","0.16","1,746,037,550","362,839,619,550"
145020,휴젤,"384,100","-4,900","1.26","5,556,075,300","1,659,221,736,500"
